wallet_address,risk_score,risk_category,eth_balance,total_tx_count,analyzed_transactions,compound_transactions,defi_transactions,success_rate,days_since_last_tx,engagement_score,is_active_wallet,analysis_status,liquidation_risk_score,volatility_risk_score,concentration_risk_score,activity_risk_score,leverage_risk_score,liquidity_risk_score
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,515.63,Medium,0.0118,2,3,1,0,1.0,1709,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.775
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,515.42,Medium,0.0131,2,3,1,0,1.0,1710,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.773
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,515.4,Medium,0.0132,2,3,1,0,1.0,1716,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.772
0x7de76a449cf60ea3e111ff18b28e516d89532152,515.33,Medium,0.0136,2,3,1,0,1.0,1725,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.772
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,515.26,Medium,0.0141,2,3,1,0,1.0,1716,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.771
0x767055590c73b7d2aaa6219da13807c493f91a20,515.24,Medium,0.0143,2,3,1,0,1.0,1722,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.77
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,515.22,Medium,0.0143,2,3,1,0,1.0,1729,0.333,True,success,0.633,0.633,0.389,0.997,0.356,0.77
0x9e6ec4e98793970a1307262ba68d37594e58cd78,511.69,Medium,0.0,1,41,0,0,1.0,1797,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x54e19653be9d4143b08994906be0e27555e8834d,511.69,Medium,0.0,1,6,0,0,1.0,2199,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,511.69,Medium,0.0,75,100,5,14,0.95,1401,0.19,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x1ab2ccad4fc97c9968ea87d4435326715be32872,511.69,Medium,0.0,3,4,1,0,1.0,1715,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,511.69,Medium,0.0,5,6,3,0,1.0,1742,0.5,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,511.69,Medium,0.0,1,100,0,0,0.98,1500,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,511.69,Medium,0.0,3,4,1,0,1.0,1699,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x111c7208a7e2af345d36b6d4aace8740d61a3078,511.69,Medium,0.0,4,5,2,0,1.0,1724,0.4,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,511.69,Medium,0.0,3,4,1,0,1.0,1675,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,511.69,Medium,0.0,5,6,3,0,1.0,1721,0.5,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,511.69,Medium,0.0,473,100,11,1,1.0,885,0.12,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xa7e94d933eb0c439dda357f61244a485246e97b8,511.69,Medium,0.0,1,2,0,0,1.0,2118,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,511.69,Medium,0.0,3,4,1,0,1.0,1598,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x70c1864282599a762c674dd9d567b37e13bce755,511.69,Medium,0.0,3,4,1,0,1.0,1681,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,511.69,Medium,0.0,8,11,2,0,1.0,1703,0.182,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x6d69ca3711e504658977367e13c300ab198379f1,511.69,Medium,0.0,3,4,1,0,1.0,1707,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x4839e666e2baf12a51bf004392b35972eeddeabf,511.69,Medium,0.0,13,15,5,0,1.0,1621,0.333,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,511.69,Medium,0.0,6,8,1,0,1.0,1611,0.125,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x27f72a000d8e9f324583f3a3491ea66998275b28,511.69,Medium,0.0,3,4,1,0,1.0,1715,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,511.69,Medium,0.0,46,60,3,1,0.983,1165,0.067,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,511.69,Medium,0.0,3,4,1,0,1.0,1729,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,511.69,Medium,0.0,7,11,2,2,1.0,1538,0.364,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,511.69,Medium,0.0,3,4,1,0,1.0,1715,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,511.69,Medium,0.0,219,100,0,13,0.97,1451,0.13,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x4e61251336c32e4fe6bfd5fab014846599321389,511.69,Medium,0.0,3,4,1,0,1.0,1522,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,511.69,Medium,0.0,3,4,1,0,1.0,1722,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xcf0033bf27804640e5339e06443e208db5870dd2,511.69,Medium,0.0,3,4,1,0,1.0,1720,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xf60304b534f74977e159b2e159e135475c245526,511.69,Medium,0.0,1,10,0,0,1.0,1953,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,511.69,Medium,0.0,101,100,21,20,0.89,1526,0.41,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x4814be124d7fe3b240eb46061f7ddfab468fe122,511.69,Medium,0.0,191,100,14,5,0.95,1581,0.19,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xc179d55f7e00e789915760f7d260a1bf6285278b,511.69,Medium,0.0,6,8,2,0,1.0,1683,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x06b51c6882b27cb05e712185531c1f74996dd988,511.69,Medium,0.0,3,4,1,0,1.0,1745,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,511.69,Medium,0.0,1,5,0,0,1.0,1769,0.0,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x880a0af12da55df1197f41697c1a1b61670ed410,511.69,Medium,0.0,11,15,4,0,1.0,1380,0.267,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0x83ea74c67d393c6894c34c464657bda2183a2f1a,511.69,Medium,0.0,3,4,1,0,1.0,1724,0.25,False,success,0.673,0.473,0.573,0.773,0.473,0.873
0xb57297c5d02def954794e593db93d0a302e43e5c,511.37,Medium,0.001,5,9,2,0,1.0,1435,0.222,True,success,0.656,0.509,0.383,0.991,0.356,0.794
0x2844658bf341db96aa247259824f42025e3bcec2,507.76,Medium,0.0051,2,3,1,0,1.0,1684,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.789
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,507.75,Medium,0.0073,539,100,0,2,1.0,1267,0.02,True,success,0.696,0.412,0.328,0.861,0.61,0.485
0xf67e8e5805835465f7eba988259db882ab726800,507.66,Medium,0.0058,2,3,1,0,1.0,1682,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.788
0xf54f36bca969800fd7d63a68029561309938c09b,507.52,Medium,0.0066,2,3,1,0,1.0,1686,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.786
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,507.18,Medium,0.0088,2,3,1,0,1.0,1686,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.781
0x3867d222ba91236ad4d12c31056626f9e798629c,506.64,Medium,0.0122,2,3,1,0,1.0,1686,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.775
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,506.62,Medium,0.0123,2,3,1,0,1.0,1687,0.333,True,success,0.633,0.584,0.388,0.997,0.348,0.774
0x8be38ea2b22b706aef313c2de81f7d179024dd30,504.88,Medium,0.0,28,30,16,0,0.6,613,0.533,True,success,0.713,0.53,0.193,0.966,0.613,0.852
0x4c4d05fe859279c91b074429b5fc451182cec745,503.55,Medium,0.0006,2,3,1,0,1.0,1455,0.333,True,success,0.633,0.553,0.388,0.997,0.348,0.798
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,497.25,Medium,0.0,155,100,26,0,0.9,231,0.26,True,success,0.678,0.418,0.374,0.912,0.624,0.52
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,491.9,Medium,0.001,4,5,2,0,1.0,1711,0.4,True,success,0.62,0.559,0.356,0.995,0.356,0.797
0x58d68d4bcf9725e40353379cec92b90332561683,491.77,Medium,0.002,37,47,5,10,0.979,179,0.319,True,success,0.643,0.431,0.312,0.95,0.553,0.73
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,488.12,Medium,0.0946,406,100,0,0,1.0,59,0.0,True,success,0.597,0.427,0.444,0.8,0.636,0.311
0x330513970efd9e8dd606275fb4c50378989b3204,482.59,Medium,0.0023,92,100,8,23,0.88,335,0.31,True,success,0.674,0.418,0.365,0.917,0.555,0.519
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,480.27,Medium,0.0001,3,4,2,0,1.0,1740,0.5,True,success,0.6,0.589,0.333,0.996,0.356,0.798
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,478.86,Medium,0.0001,3,4,2,0,1.0,1694,0.5,True,success,0.6,0.58,0.333,0.996,0.356,0.798
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,473.74,Medium,1.3649,433,100,0,22,0.99,497,0.22,True,success,0.659,0.412,0.47,0.846,0.55,0.302
0x124853fecb522c57d9bd5c21231058696ca6d596,469.4,Medium,0.0016,5,6,3,0,1.0,1722,0.5,True,success,0.6,0.535,0.319,0.994,0.356,0.795
0xf10fd8921019615a856c1e95c7cd3632de34edc4,468.73,Medium,0.4379,59,63,0,19,0.952,376,0.302,True,success,0.654,0.433,0.372,0.941,0.554,0.31
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,466.24,Medium,0.0017,1,3,1,0,1.0,1344,0.333,True,success,0.633,0.349,0.382,0.997,0.315,0.796
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,446.56,Medium,0.0003,2,3,2,0,1.0,1743,0.667,True,success,0.567,0.557,0.289,0.997,0.356,0.797
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,441.77,Medium,0.0009,2,3,2,0,1.0,1722,0.667,True,success,0.567,0.527,0.289,0.997,0.356,0.796
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,440.92,Medium,0.0007,1,2,1,0,1.0,1701,0.5,True,success,0.6,0.333,0.346,0.998,0.356,0.797
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,439.02,Medium,0.0005,1,2,1,0,1.0,1687,0.5,True,success,0.6,0.327,0.345,0.998,0.348,0.797
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,354.3,Medium,0.0,31,51,2,1,1.0,23,0.059,True,success,0.23,0.441,0.361,0.369,0.649,0.353
0xbd4a00764217c13a246f86db58d74541a0c3972a,347.09,Low,12.8696,239,100,3,18,0.99,5,0.21,True,success,0.354,0.421,0.411,0.492,0.574,0.035
